LON,LAT,Zona Sismica
11.7725,46.8659,0
11.8018,46.8663,0
11.8311,46.8667,0
11.8604,46.8671,0
11.8897,46.8675,0
11.919,46.8679,0
11.9483,46.8683,0
11.9776,46.8686,0
12.0069,46.869,0
12.0362,46.8693,0
12.0655,46.8697,0
12.0948,46.87,0
12.1241,46.8703,0
12.1534,46.8706,0
12.1827,46.871,0
12.212,46.8713,0
12.2414,46.8716,0
12.2706,46.8719,0
10.4849,46.8212,1
10.5142,46.8219,1
10.5435,46.8226,1
10.5727,46.8233,1
10.602,46.824,1
10.6312,46.8247,1
10.6605,46.8253,1
10.6897,46.826,1
10.719,46.8267,1
10.7483,46.8273,1
11.0996,46.8346,0
11.1289,46.8352,0
11.1581,46.8357,0
11.1874,46.8363,0
11.2167,46.8368,0
11.246,46.8374,0
11.2752,46.8379,0
11.3045,46.8384,0
11.3338,46.8389,0
11.3631,46.8394,0
11.3924,46.84,0
11.4217,46.8404,0
11.451,46.8409,0
11.4803,46.8414,0
11.5095,46.8419,0
11.5388,46.8423,0
11.5681,46.8428,0
11.5973,46.8433,0
11.6267,46.8437,0
11.656,46.8441,0
11.6852,46.8446,0
11.7145,46.845,0
11.7438,46.8454,0
11.7731,46.8458,0
11.8024,46.8462,0
11.8317,46.8466,0
11.861,46.847,0
11.8902,46.8474,0
11.9195,46.8478,0
11.9489,46.8482,0
11.9782,46.8485,0
12.0074,46.8489,0
12.0367,46.8492,0
12.066,46.8496,0
12.0953,46.8499,0
12.1246,46.8502,0
12.1539,46.8505,0
12.1832,46.8509,0
12.2124,46.8512,0
12.2418,46.8515,0
12.2711,46.8518,1
10.4567,46.8004,1
10.4859,46.8011,1
10.5152,46.8018,1
10.5444,46.8025,1
10.5737,46.8032,1
10.603,46.8039,1
10.6322,46.8046,1
10.6614,46.8053,1
10.6907,46.8059,1
10.7199,46.8066,1
11.0711,46.814,0
11.1004,46.8145,0
11.1297,46.8151,0
11.1589,46.8157,0
11.1882,46.8162,0
11.2175,46.8167,0
11.2467,46.8173,0
11.276,46.8178,0
11.3053,46.8183,0
11.3345,46.8189,0
11.3638,46.8194,0
11.3931,46.8199,0
11.4224,46.8203,0
11.4516,46.8208,0
11.4809,46.8213,0
11.5102,46.8218,0
11.5394,46.8223,0
11.5687,46.8227,0
11.598,46.8232,0
11.6273,46.8236,0
11.6566,46.8241,0
11.6858,46.8245,0
11.7151,46.8249,0
11.7444,46.8253,0
11.7737,46.8257,0
11.803,46.8261,0
11.8322,46.8265,0
11.8615,46.8269,0
11.8908,46.8273,0
11.9201,46.8277,0
11.9493,46.8281,0
11.9786,46.8284,0
12.0079,46.8288,0
12.0372,46.8291,0
12.0665,46.8295,0
12.0958,46.8298,0
12.1251,46.8301,0
