Comune,Latitudine,Longitudine,IdQ,Pericolosità
Ascoli Piceno,42.8546185,13.5755038,63.365458421893386,26.256870090081886
Novara,45.4464036,8.619655,61.56864028444232,14.272525524448696
Nuoro,40.3210601,9.3297339,49.98307339706211,7.048172722764372
Oristano,39.9059497,8.5916112,47.45077395675505,4.552935642048283
Padova,45.4077172,11.8734455,66.09365295840264,24.125742559056903
Palermo,38.1112268,13.3524434,35.819764880710764,31.336348171383484
Parma,44.8013678,10.3280833,67.83366505999057,40.89603264176738
Pavia,45.1860043,9.1546375,57.61800496574309,17.975392794103794
Perugia,43.1119613,12.3890104,61.3826416207357,29.444604765775594
Pesaro,43.9098114,12.9131228,64.48834160651624,24.11607802891774
Pescara,42.469613,14.2059269,59.22842403547551,22.12664705538459
Asti,44.900542,8.2068876,55.33586049865553,11.397485520407205
Piacenza,45.0534751,9.6947461,60.32184012483807,28.78495165498763
Pisa,43.7159395,10.4018624,68.09535181542519,34.57440437255275
Pistoia,43.9336213,10.9174238,54.60141833954509,30.593573331147024
Pordenone,45.9562503,12.6597197,67.76627178470996,22.74136759576453
Potenza,40.6384046,15.8022077,40.71729408728675,18.149711516073825
Prato,43.880598,11.0969262,59.23163606766008,35.14760102050955
Ragusa,36.9219828,14.7213455,38.931835396990685,34.99509435135225
Ravenna,44.4161414,12.2017617,60.513781048086095,40.60856871317676
Reggio di Calabria,38.1035389,15.6397556,29.84189798248445,35.288053652358286
Reggio nell'Emilia,44.6978389,10.6304971,62.78875124328747,36.89307318919893
Avellino,40.9141958,14.7888764,43.08746070302291,29.107713327183774
Rieti,42.4026569,12.860813,46.12393259513794,30.328213716122846
Rimini,44.0593886,12.5684371,54.3164047503756,51.837353596062826
Roma,41.8933203,12.4829321,61.502422554274,35.70538901341174
Rovigo,45.0698166,11.78882,48.49969533361392,12.958471914777652
Salerno,40.6803601,14.7594542,35.081158079870626,23.58997117868908
Sassari,40.7232643,8.5610074,45.49779532124245,9.61394698087905
Savona,44.3080251,8.4810315,57.30364821588845,19.451730649602734
Siena,43.3185536,11.3316533,64.5047823712527,26.279414354711747
Siracusa,37.0646139,15.2907196,28.39676583559367,40.153243915196256
Sondrio,46.1713553,9.8734274,60.21247336231644,16.9635085289478
Bari,41.1257843,16.8620293,50.56984934322376,15.420459757089459
Taranto,40.4712427,17.2432278,32.35666544712111,18.495657185441715
Teramo,42.6612893,13.6983524,55.742891710441626,26.72791316696386
Terni,42.5641417,12.6405466,57.42836599889398,27.74883297916459
Torino,45.0677551,7.6824892,61.90715767638659,23.016833230917257
Trapani,38.0174321,12.515992,34.712001714257184,12.662200516124702
Trento,46.0664228,11.1257601,73.59523459091729,14.829333020288388
Treviso,45.6658505,12.2455414,63.36935906097779,13.200849637475564
Trieste,45.6496485,13.7772781,69.58788050389599,22.841245315263073
Udine,46.0634632,13.2358377,71.95067264573991,23.49093373164888
